code,fieldname
 F04602," Total M.D.'s, Total Non-Fed    "
 F04605," M.D.'s, Total PC, Hosp FT Staff"
 F04606," M.D.'s, Total Administration   "
 F04607," M.D.'s, Total Teaching         "
 F04609," M.D.'s, Total Other            "
 F04610," MD's, Total Gen Pract, Total   "
 F04618," Med Spec Tot, Total            "
 F04631," Cardiovas Dis, Total           "
 F04636," Dermatology, Total             "
 F04641," Gastroenterology, Total        "
 F04661," Ped Cardiolgy, Total           "
 F04666," Pulmonary Dis, Total           "
 F04671," Surg Specs Tot, Total          "
 F04680," Genrl Surg, Total              "
 F04685," Neurolgcal Surg, Total         "
 F04695," Ophthalmolgy, Total            "
 F04700," Orthopedic Surg, Total         "
 F04705," Otolaryngolgy, Total           "
 F04710," Plastic Surg, Total            "
 F04715," Colon/Rectal Srg, Total        "
 F04720," Thoracic Surg, Total           "
 F04725," Urology, Total                 "
 F04730," Other Spec, Tot, Total         "
 F04738," Aerospace Med, Total           "
 F04743," Anesthesiolgy, Total           "
 F04748," Child Psych, Total             "
 F04753," Diag Radiolgy, Total           "
 F04758," Forensic Path, Total           "
 F04763," Neurology, Total               "
 F04768," Occupat Med, Total             "
 F04773," Psychiatry, Total              "
 F04778," Path,Anat/Clinic,Total         "
 F04783," Phys Med/Rehab, Total          "
 F04788," Gen Prev Med, Total            "
 F04793," Public Health, Total           "
 F04803," Rad Oncology, Total            "
 F04813," Unspecified, Total             "
 F04818," MD's Inactive, Total           "
 F04819," MD's Not Classified, Total     "
 F04820," Total M.D.'s, Male             "
 F04821," Total M.D.'s, Female           "
 F04904," Total M.D.'s, < 35             "
 F04905," Total M.D.'s, 35-44            "
 F04906," Total M.D.'s, 45-54            "
 F04907," Total M.D.'s, 55-64            "
 F04916," Medical Specs, Total, < 35     "
 F04917," Medical Specs, Total, 35-44    "
 F04918," Medical Specs, Total, 45-54    "
 F04919," Medical Specs, Total, 55-64    "
 F04976," Surgical Specs, Total, < 35    "
 F04977," Surgical Specs, Total, 35-44   "
 F04978," Surgical Specs, Total, 45-54   "
 F04979," Surgical Specs, Total, 55-64   "
 F05042," Other Specs, Total, < 35       "
 F05043," Other Specs, Total, 35-44      "
 F05044," Other Specs, Total, 45-54      "
 F05045," Other Specs, Total, 55-64      "
 F08857, Total Active M.D.s Non-Federal 
 F09811," Radiology, Total               "
 F09816," Nuclear Med, Total             "
 F09821," Other Specs, Total             "
 F09826," Emergency Med, Total           "
 F09947," MD's, Gen Pract, Total         "
 F11068," M.D.'s, Total Research         "
 F11072," MD's, Gen Pract, Total Ptn Care"
 F11078," Med Spec Tot, Total Patn Care  "
 F11084," Cardiovas Dis, Total Patn Care "
 F11087," Dermatology, Total Patnt Care  "
 F11090," Gastroenterology, Total Ptn Cr "
 F11093," Gnrl Int Med, Total Patn Care  "
 F11112," Ped Cardiolgy, Total Patn Care "
 F11115," Pulmonary Dis, Total Patn Care "
 F11118," Surg Specs Tot, Total Patn Care"
 F11121," Genrl Surg, Total Patient Care "
 F11124," Neurolgcal Surg, Total Ptn Care"
 F11130," Ophthalmolgy, Total Patn Care  "
 F11133," Orthopedic Surg, Total Ptn Care"
 F11136," Otolaryngolgy, Total Ptn Care  "
 F11139," Plastic Surg, Total Patn Care  "
 F11142," Colon/Rectal Srg, Total Ptn Cr "
 F11145," Thoracic Surg, Total Patn Care "
 F11148," Urology, Total Patient Care    "
 F11151," Other Spec, Tot, Total Ptn Care"
 F11154," Aerospace Med, Total Patn Care "
 F11157," Anesthesiolgy, Total Patn Care "
 F11160," Child Psych, Total Patn Care   "
 F11163," Diag Radiolgy, Total Patn Care "
 F11166," Emergency Med, Total Patn Care "
 F11169," Forensic Path, Total Patn Care "
 F11172," Neurology, Total Patient Care  "
 F11175," Nuclear Med, Total Patient Care"
 F11178," Occupat Med, Total Patnt Care  "
 F11181," Psychiatry, Total Patient Care "
 F11187," Phys Med/Rehab, Total Patnt Cr "
 F11190," Gen Prev Med, Total Patnt Care "
 F11193," Public Health, Total Patnt Care"
 F11196," Radiology, Total Patient Care  "
 F11199," Rad Oncology, Total Patnt Care "
 F11202," Other Specs, Total Patnt Care  "
 F11205," Unspecified, Total Patient Care"
 F11208," General Internal Med, Total    "
 F11215," M.D.'s, Total Ptn Care Non-Fed "
 F11217," M.D.'s, Total Oth Prof Activity"
 F11270," M.D.'s, Total PC, Hosp FT Staff"
 F11271," M.D.'s, Total Oth Prof Activity"
 F11674," Allergy & Immunology, Total    "
 F11684," Ob-Gyn, General, Total         "
 F11685," Ob-Gyn, Gen, Total Patient Care"
 F11694," Ob-Gyn Subspecs, Total         "
 F11704," Pediatrics, General, Total     "
 F11714," Ped Subspecs, Total            "
 F11715," Ped Subspecs, Total Patn Care  "
 F11724," Int Med Subspecs, Total        "
 F11996," MD's, Fam Med Gen, Total       "
 F12006," MD's, Fam Med Subspec, Total   "
 F12016," Total M.D.'s, 65-74            "
 F12017," Total M.D.'s, 75 +             "
 F12034," Medical Specs, Total, 65-74    "
 F12035," Medical Specs, Total, 75 +     "
 F12056," Surgical Specs, Total, 65-74   "
 F12057," Surgical Specs, Total, 75 +    "
 F12080," Other Specs, Total, 65-74      "
 F12081," Other Specs, Total, 75 +       "
 F12128," Total M.D.'s, Tot Non-Fed & Fed"
 F12425," Medical Genetics, Total        "
 F12499," M.D.'s, Total PC, Hosp Resident"
 F13635," Vascular Med, Total            "
 F13636," Vascular Med, Total Patn Care  "
 F13650," Transplant Surg, Total         "
 F13878," M.D.'s, Total, Inactive        "
