col,fieldname
 F04602," Total M.D.'s, Total Non-Fed    "
 F04603," M.D.'s, PC, Off Based Non-Fed  "
 F04605," M.D.'s, Total PC, Hosp FT Staff"
 F04606," M.D.'s, Total Administration   "
 F04607," M.D.'s, Total Teaching         "
 F04609," M.D.'s, Total Other            "
 F04610," MD's, Total Gen Pract, Total   "
 F04613," MD's,Tot Gen Prac,PC,Hsp FT Stf"
 F04614," MD's, Tot Gen Pract, Administ  "
 F04615," MD's, Tot Gen Pract, Teaching  "
 F04617," MD's, Tot Gen Pract, Other     "
 F04618," Med Spec Tot, Total            "
 F04621," Med Spec Tot, PC, Hosp FT Staff"
 F04622," Med Spec Tot, Administration   "
 F04623," Med Spec Tot, Teaching         "
 F04625," Med Spec Tot, Other            "
 F04631," Cardiovas Dis, Total           "
 F04633," Cardiovas Dis, PC, Office Based"
 F04635," Cardiovas Dis, PC, Hosp FT Stf "
 F04636," Dermatology, Total             "
 F04638," Dermatology, PC, Office Based  "
 F04640," Dermatology, PC, Hosp FT Staff "
 F04641," Gastroenterology, Total        "
 F04643," Gastroenterology, PC, Off Based"
 F04645," Gastroenterology, PC,Hsp FT Stf"
 F04661," Ped Cardiolgy, Total           "
 F04663," Ped Cardiolgy, PC, Office Based"
 F04665," Ped Cardiolgy, PC, Hosp FT Stf "
 F04666," Pulmonary Dis, Total           "
 F04668," Pulmonary Dis, PC, Office Based"
 F04670," Pulmonary Dis, PC, Hosp FT Stf "
 F04671," Surg Specs Tot, Total          "
 F04675," Surg Specs Tot, PC, Hosp FT Stf"
 F04676," Surg Specs Tot, Administration "
 F04677," Surg Specs Tot, Teaching       "
 F04679," Surg Specs Tot, Other          "
 F04680," Genrl Surg, Total              "
 F04682," Genrl Surg, PC, Office Based   "
 F04684," Genrl Surg, PC, Hosp FT Staff  "
 F04685," Neurolgcal Surg, Total         "
 F04687," Neurolgcal Surg, PC, Office Bsd"
 F04689," Neurolgcal Surg, PC, Hsp FT Stf"
 F04695," Ophthalmolgy, Total            "
 F04697," Ophthalmolgy, PC, Office Based "
 F04699," Ophthalmolgy, PC, Hosp FT Staff"
 F04700," Orthopedic Surg, Total         "
 F04702," Orthopedic Surg, PC, Off Based "
 F04704," Orthopedic Surg, PC, Hsp FT Stf"
 F04705," Otolaryngolgy, Total           "
 F04707," Otolaryngolgy, PC, Office Based"
 F04709," Otolaryngolgy, PC, Hosp FT Stf "
 F04710," Plastic Surg, Total            "
 F04712," Plastic Surg, PC, Office Based "
 F04714," Plastic Surg, PC, Hosp FT Staff"
 F04715," Colon/Rectal Srg, Total        "
 F04717," Colon/Rectal Srg, PC, Off Based"
 F04719," Colon/Rectal Srg, PC,Hsp FT Stf"
 F04720," Thoracic Surg, Total           "
 F04722," Thoracic Surg, PC, Office Based"
 F04724," Thoracic Surg, PC, Hosp FT Stf "
 F04725," Urology, Total                 "
 F04727," Urology, PC, Office Based      "
 F04729," Urology, PC, Hosp FT Staff     "
 F04730," Other Spec, Tot, Total         "
 F04733," Other Spec, Tot, PC, Hsp FT Stf"
 F04734," Other Spec, Tot, Administration"
 F04735," Other Spec, Tot, Teaching      "
 F04737," Other Spec, Tot, Other         "
 F04738," Aerospace Med, Total           "
 F04740," Aerospace Med, PC, Office Based"
 F04742," Aerospace Med, PC, Hosp FT Stf "
 F04743," Anesthesiolgy, Total           "
 F04745," Anesthesiolgy, PC, Office Based"
 F04747," Anesthesiolgy, PC, Hosp FT Stf "
 F04748," Child Psych, Total             "
 F04750," Child Psych, PC, Office Based  "
 F04752," Child Psych, PC, Hosp FT Staff "
 F04753," Diag Radiolgy, Total           "
 F04755," Diag Radiolgy, PC, Office Based"
 F04757," Diag Radiolgy, PC, Hosp FT Stf "
 F04758," Forensic Path, Total           "
 F04760," Forensic Path, PC, Office Based"
 F04762," Forensic Path, PC, Hosp FT Stf "
 F04763," Neurology, Total               "
 F04765," Neurology, PC, Office Based    "
 F04767," Neurology, PC, Hosp FT Staff   "
 F04768," Occupat Med, Total             "
 F04770," Occupat Med, PC, Office Based  "
 F04772," Occupat Med, PC, Hosp FT Staff "
 F04773," Psychiatry, Total              "
 F04775," Psychiatry, PC, Office Based   "
 F04777," Psychiatry, PC, Hosp FT Staff  "
 F04778," Path,Anat/Clinic,Total         "
 F04780," Path,Anat/Clinic,PC,Off Based  "
 F04782," Path,Anat/Clinic,PC,Hosp FT Stf"
 F04783," Phys Med/Rehab, Total          "
 F04785," Phys Med/Rehab, PC, Office Base"
 F04787," Phys Med/Rehab, PC, Hosp FT Stf"
 F04788," Gen Prev Med, Total            "
 F04790," Gen Prev Med, PC, Office Based "
 F04792," Gen Prev Med, PC, Hosp FT Staff"
 F04793," Public Health, Total           "
 F04795," Public Health, PC, Office Based"
 F04797," Public Health, PC, Hosp FT Stf "
 F04803," Rad Oncology, Total            "
 F04805," Rad Oncology, PC, Office Based "
 F04807," Rad Oncology, PC, Hosp FT Staff"
 F04813," Unspecified, Total             "
 F04815," Unspecified, PC, Office Based  "
 F04817," Unspecified, PC, Hosp FT Staff "
 F04818," MD's Inactive, Total           "
 F04819," MD's Not Classified, Total     "
 F04820," Total M.D.'s, Male             "
 F04821," Total M.D.'s, Female           "
 F04900," MD's, Inactive, Male           "
 F04901," MD's, Inactive, Female         "
 F04904," Total M.D.'s, < 35             "
 F04905," Total M.D.'s, 35-44            "
 F04906," Total M.D.'s, 45-54            "
 F04907," Total M.D.'s, 55-64            "
 F04910," MD's, Tot General Pract, < 35  "
 F04911," MD's, Tot General Pract, 35-44 "
 F04912," MD's, Tot General Pract, 45-54 "
 F04913," MD's, Tot General Pract, 55-64 "
 F04916," Medical Specs, Total, < 35     "
 F04917," Medical Specs, Total, 35-44    "
 F04918," Medical Specs, Total, 45-54    "
 F04919," Medical Specs, Total, 55-64    "
 F04928," Cardiovascular Diseases, < 35  "
 F04929," Cardiovascular Diseases, 35-44 "
 F04930," Cardiovascular Diseases, 45-54 "
 F04931," Cardiovascular Diseases, 55-64 "
 F04934," Dermatology, < 35              "
 F04935," Dermatology, 35-44             "
 F04936," Dermatology, 45-54             "
 F04937," Dermatology, 55-64             "
 F04940," Gastroenterology, < 35         "
 F04941," Gastroenterology, 35-44        "
 F04942," Gastroenterology, 45-54        "
 F04943," Gastroenterology, 55-64        "
 F04964," Pediatric Cardiology, < 35     "
 F04965," Pediatric Cardiology, 35-44    "
 F04966," Pediatric Cardiology, 45-54    "
 F04967," Pediatric Cardiology, 55-64    "
 F04970," Pulmonary Diseases, < 35       "
 F04971," Pulmonary Diseases, 35-44      "
 F04972," Pulmonary Diseases, 45-54      "
 F04973," Pulmonary Diseases, 55-64      "
 F04976," Surgical Specs, Total, < 35    "
 F04977," Surgical Specs, Total, 35-44   "
 F04978," Surgical Specs, Total, 45-54   "
 F04979," Surgical Specs, Total, 55-64   "
 F04982," General Surgery, < 35          "
 F04983," General Surgery, 35-44         "
 F04984," General Surgery, 45-54         "
 F04985," General Surgery, 55-64         "
 F04988," Neurological Surgery, < 35     "
 F04989," Neurological Surgery, 35-44    "
 F04990," Neurological Surgery, 45-54    "
 F04991," Neurological Surgery, 55-64    "
 F05000," Ophthalmology, < 35            "
 F05001," Ophthalmology, 35-44           "
 F05002," Ophthalmology, 45-54           "
 F05003," Ophthalmology, 55-64           "
 F05006," Orthopedic Surgery, < 35       "
 F05007," Orthopedic Surgery, 35-44      "
 F05008," Orthopedic Surgery, 45-54      "
 F05009," Orthopedic Surgery, 55-64      "
 F05012," Otolaryngology, < 35           "
 F05013," Otolaryngology, 35-44          "
 F05014," Otolaryngology, 45-54          "
 F05015," Otolaryngology, 55-64          "
 F05018," Plastic Surgery, < 35          "
 F05019," Plastic Surgery, 35-44         "
 F05020," Plastic Surgery, 45-54         "
